No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Comment vas-tu ?,0.812
3,Mangui gui fi,Je vais bien,Je suis là.,0.462
4,iow nak no def ?,Et toi comment va tu ?,"Et alors, comment ça va ?",0.725
5,Mangui ci diam,Ca va,Je vais bien.,0.550
6,Kay gnou lekk,Viens on mange,"Viens, on mange.",1.000
7,Gnata att nga am ?,Quelle age as-tu ?,Quel âge as-tu ?,0.776
8,Tay dama woorr,J'ai jeûné aujourd'hui,"Aujourd'hui, je jeûne.",0.625
9,Fane nga deuk ?,Où est-ce que tu habites ?,Où habites-tu ?,0.532
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Comment tu t'appelles ?,0.533
11,Mangui toudou X,Je m'appelle X,Je m'appelle X.,1.000
12,Dama la sokhla,J'ai besoin de toi,J'ai besoin de toi.,1.000
13,Dama khiff,J'ai faim,J'ai soif.,0.750
14,Dama marr,J'ai soif,J'ai soif.,1.000
15,Mangui joko si leund mi,Je me connecte sur le web,Je suis en train de faire mes ablutions.,0.439
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,Je veux quelque chose en rapport avec la technologie.,0.578
17,Dama beug ndekki,Je veux prendre un petit déjeuner,Je veux déjeuner.,0.521
18,Dama beug Agne,Je veux prendre un déjeuner,Je veux déjeuner.,0.642
19,Dama beug rére,Je veux prendre un dîner,J'ai faim.,0.133
20,Damay takk jabar,Je vais me marier,Je vais me marier.,1.000
21,Mayma khaliss,Donne moi de l'argent,Donne-moi de l'argent.,0.673
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Quelle heure est-il ?,0.794
23,Dama sonne,Je suis fatigué,Je suis fatigué.,1.000
24,Bu la neexee,S’il vous plaît,Si tu veux.,0.480
25,Amul sólo,Je vous en prie,Il n'y a pas de problème.,0.400
26,Kay niou dem,Viens on y va,Allons-y.,0.269
27,Jéggël ma,Excusez-moi,Pardonnez-moi.,0.518
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Est-ce que tu comprends l'anglais ?,0.574
29,Dégg nga ?,Comprenez-vous ?,Tu comprends ?,0.709
30,Dégg naa,Je comprends,J'entends.,0.529
31,Dégguma,Je ne comprends pas,Je ne comprends pas.,1.000
32,Nanga tudd ?,Quel est ton nom ?,Comment tu t'appelles ?,0.329
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,Avez-vous bien dormi ?,0.358
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,Combien coûte d'ici à Sandaga ?,0.769
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,Où est votre maison ?,0.601
36,Neexoon na,C'était bon,C'était bon.,1.000
37,Mi ngi ci jàmm,Il/Elle va bien,Il/Elle va bien.,1.000
38,Ñaata lay jar ?,Combien ça coûte ?,Combien ça coûte ?,1.000
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Combien vends-tu celui-ci ?,0.775
40,Seer na lool,C'est très cher,C'est très bien.,0.783
41,Wagniil mako,Diminue moi ça,Donne-le moi.,0.700
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Qu'est-ce qu'on va manger ?,0.790
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Comment as-tu passé la journée ?,0.684
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,"Hier, il y avait une fête chez toi.",0.623
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,Je suis venu te donner ton argent.,0.699
46,Dama nékone daara dja,J'étais à l'école,J'étais à l'école coranique.,0.833
47,Damay saakou xam-xam,Je suis à la quête de connaissance,Je suis en quête de savoir.,0.725
48,Nianal ma !,Prie pour moi !,Prie pour moi !,1.000
49,Témérri Diouni,Cent milles,"Patience, ce n'est pas grave.",0.415
50,Damala beug,Je t'aime,Je t'aime.,1.000
51,Dama gueuméntou,J'ai sommeil,Je ne crois pas.,0.328
52,Dama beug nelaw,Je veux dormir,J'ai envie de dormir.,0.639
53,Fane nga dieum ni ?,Où vas-tu ?,Où vas-tu comme ça ?,0.833
54,Nélaww gua bou baxx ?,as tu bien dormi ?,As-tu bien dormi ?,0.822
55,Testou sansement bant yi,Test des mises à jours des branches,Ne touche pas aux jouets.,0.522
56,Yalla baxna,ça ira,Dieu est bon.,0.267
57,fane yi dara doxoul,Rien ne marche ces temps-ci,"Ces jours-ci, rien ne va.",0.742
58,Dieureudieuf,Merci,Merci.,1.000
59,Touti,un peu,Un peu.,1.000
60,Kay,viens,Viens.,1.000
61,Kay Agne,viens manger,Viens Agne.,0.760
62,Damay touki,je voyage,Je voyage.,1.000
63,Bokk na,Je participe,Cela fait partie de.,0.627
64,Dama beugue diangue.,J'aime les études.,Je veux étudier.,0.586
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Il y a beaucoup de personnes dans la maison.,0.825
66,Ab paaka la yore.,Il a un couteau sur lui.,Il porte un couteau.,0.472
67,Dama khiff.,J'ai faim.,J'ai soif.,0.750
68,Dama ame ndadjé.,J'ai un rendez-vous.,J'ai un rendez-vous.,1.000
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Je n'ai pas mangé.,0.567
70,Awa diangue Kate la.,Awa est un bon élève,Awa est une étudiante.,0.579
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,Ma grande sœur cuisine le déjeuner.,0.736
72,Beugouma carote.,Je n'aime pas les carottes.,Je ne veux pas de carotte.,0.734
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,"Maintenant, j'étudie avec Médoune.",0.780
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,Ma mère aime les pommes.,0.881
75,Dama taxaw!,Je suis debout!,Je me suis levé !,0.571
76,Beugouma,Je n'aime pas,Je ne veux pas.,0.683
77,Maa ngi dem,Je m’en vais,Je vais.,0.450
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"À la prochaine fois, si Dieu le veut.",0.788
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,Celui qui finit son petit-déjeuner est celui qui se rendort le premier.,0.643
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,Le poulet n'a pas de dents.,0.450
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,Est-ce que tu vas venir ?,0.420
82,Daay fay!,Ca paye!,Paye !,0.567
