No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Comment vas-tu ?,0.812
3,Mangui gui fi,Je vais bien,Cette mangue ici.,0.333
4,iow nak no def ?,Et toi comment va tu ?,"Et toi, comment ça va ?",0.900
5,Mangui ci diam,Ca va,Je suis en train de dîner.,0.333
6,Kay gnou lekk,Viens on mange,Je mange ici.,0.492
7,Gnata att nga am ?,Quelle age as-tu ?,Comment vas-tu maintenant ?,0.522
8,Tay dama woorr,J'ai jeûné aujourd'hui,"Aujourd'hui, j'attends.",0.559
9,Fane nga deuk ?,Où est-ce que tu habites ?,Où es-tu allé ?,0.555
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Comment t'appelles-tu ?,0.523
11,Mangui toudou X,Je m'appelle X,Tous les enfants de X.,0.530
12,Dama la sokhla,J'ai besoin de toi,Tu me manques.,0.252
13,Dama khiff,J'ai faim,Je suis triste.,0.387
14,Dama marr,J'ai soif,Je prends,0.170
15,Mangui joko si leund mi,Je me connecte sur le web,Mange le poulet sur la table.,0.492
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,Je garde une vache attachée là où il n'y a pas d'herbe.,0.383
17,Dama beug ndekki,Je veux prendre un petit déjeuner,Je crie souvent.,0.332
18,Dama beug Agne,Je veux prendre un déjeuner,Je m'appelle Agne.,0.363
19,Dama beug rére,Je veux prendre un dîner,Je pleure en chantant.,0.419
20,Damay takk jabar,Je vais me marier,J'attends ma femme.,0.528
21,Mayma khaliss,Donne moi de l'argent,Donne-moi de l'argent.,0.673
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Quelle heure est-il ?,0.794
23,Dama sonne,Je suis fatigué,J'appelle.,0.147
24,Bu la neexee,S’il vous plaît,Si ça te plaît.,0.763
25,Amul sólo,Je vous en prie,Pas de problème.,0.450
26,Kay niou dem,Viens on y va,Nous allons à la maison.,0.295
27,Jéggël ma,Excusez-moi,Aide-moi.,0.529
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Est-ce que tu comprends l'anglais ?,0.574
29,Dégg nga ?,Comprenez-vous ?,Tu comprends ?,0.709
30,Dégg naa,Je comprends,J'ai entendu.,0.362
31,Dégguma,Je ne comprends pas,Je ne comprends pas.,1.000
32,Nanga tudd ?,Quel est ton nom ?,Comment tu t'appelles ?,0.329
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,As-tu passé une nuit paisible ?,0.499
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,"""D'ici à Sandaga, c'est combien ?""",0.769
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,"""Où est votre bien ?""",0.594
36,Neexoon na,C'était bon,Il a aimé.,0.340
37,Mi ngi ci jàmm,Il/Elle va bien,Je suis en paix.,0.316
38,Ñaata lay jar ?,Combien ça coûte ?,Combien ça coûte ?,1.000
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Combien vendez-vous ceci ?,0.717
40,Seer na lool,C'est très cher,Il s'est beaucoup promené.,0.492
41,Wagniil mako,Diminue moi ça,Leurs enfants,0.258
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Les enfants mangent ?,0.448
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Comment ça va ?,0.416
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,Barki est venu chez toi aujourd'hui.,0.591
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,Je t'ai apporté ton argent.,0.694
46,Dama nékone daara dja,J'étais à l'école,Je suis à l'école ici.,0.623
47,Damay saakou xam-xam,Je suis à la quête de connaissance,Je suis à l'école du savoir.,0.563
48,Nianal ma !,Prie pour moi !,Aide-moi !,0.437
49,Témérri Diouni,Cent milles,Attendre Dieu,0.457
50,Damala beug,Je t'aime,Bélier,0.455
51,Dama gueuméntou,J'ai sommeil,Je t'attends.,0.210
52,Dama beug nelaw,Je veux dormir,Je m'allonge et dors.,0.468
53,Fane nga dieum ni ?,Où vas-tu ?,Où es-tu allé ?,0.717
54,Nélaww gua bou baxx ?,as tu bien dormi ?,Comment vas-tu ?,0.429
55,Testou sansement bant yi,Test des mises à jours des branches,Testez soigneusement les portes.,0.524
56,Yalla baxna,ça ira,Dieu est sorti.,0.267
57,fane yi dara doxoul,Rien ne marche ces temps-ci,Les femmes ne bougent pas du tout.,0.564
58,Dieureudieuf,Merci,Merci,1.000
59,Touti,un peu,Merci.,0.375
60,Kay,viens,Ceci,0.356
61,Kay Agne,viens manger,La maison d'Agne,0.518
62,Damay touki,je voyage,Je réponds.,0.308
63,Bokk na,Je participe,Partageons.,0.568
64,Dama beugue diangue.,J'aime les études.,"Je pleure, enfant.",0.380
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,La plupart des gens sont dans la maison.,0.520
66,Ab paaka la yore.,Il a un couteau sur lui.,Un chat se lave.,0.445
67,Dama khiff.,J'ai faim.,J'ai faim.,1.000
68,Dama ame ndadjé.,J'ai un rendez-vous.,J'ai un poulet.,0.637
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Ne réponds pas.,0.489
70,Awa diangue Kate la.,Awa est un bon élève,Awa va chez Kate.,0.475
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,"Ma mère, qui a une fille, est en train de cuisiner du riz.",0.495
72,Beugouma carote.,Je n'aime pas les carottes.,Coupe la carotte.,0.487
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Legui mange la mangue avec Médoune.,0.657
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,Ma mère achète une pomme.,0.787
75,Dama taxaw!,Je suis debout!,Je suis debout !,1.000
76,Beugouma,Je n'aime pas,Ne tombe pas,0.683
77,Maa ngi dem,Je m’en vais,Je vais.,0.450
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"Jusqu'à une autre fois, si Dieu le veut.",0.676
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,"Le maître de Ndékki, qui l’a pris le premier et est revenu.",0.452
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,La Guinée n'a pas de pétrole et de sucre.,0.470
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,Guy va courir maintenant.,0.405
82,Daay fay!,Ca paye!,Oh là là !,0.133
83,Ko yaab iow!,Tu qui on se moques là,"Quelle surprise, oh !",0.413
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,"Il y a un nouvel ami, hé !",0.410
85,Dama taxaw!,Je suis debout!,Je me lève !,0.287
86,Dama invité sama gel,J'ai invité ma petite copine,J'ai invité mon ami.,0.605
87,Yomb na,C’est très bon marché,Il a couru.,0.272
88,Bare na,C’est trop cher,Il y a beaucoup.,0.356
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"""Jusqu'à une autre fois, si Dieu le veut.""",0.676
90,Degg nga Français,Parlez-vous Français,Tu comprends le français.,0.697
91,Deedeet jërëjëf,Non merci,"Non, merci.",1.000
92,Amul solo,De rien,Il n'y a pas de soif.,0.283
93,Niokobok,Je vous en prie,Compétition de lutte traditionnelle.,0.300
94,Li lan la,Qu’est-ce que c’est ?,Qu'est-ce que c'est ?,1.000
95,Dema fe ñëw wakansu,Je suis ici en vacances,Si je viens ce soir.,0.557
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,"Dema, viens ici pour travailler.",0.642
97,Demay Xool rek,Je ne fais que regarder,Je vais juste voir.,0.448
98,Dama bëgga dem,Je voudrais aller,Je veux partir.,0.444
99,Ndax mën naa fi luwe,Je voudrais louer,Est-ce que je peux rester ici ?,0.355
100,Neex na torop,C’était délicieux,Il a beaucoup aimé.,0.356
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Qu'est-ce que tu me dis ?,0.783
102,Du ma lek yapp,Je suis végétarien,Je ne mange pas de viande.,0.331
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),La douleur de mon amour.,0.296
104,Tang na,C’est trop chaud,Il a faim.,0.211
105,Sama yaram nangu wu ko,Je suis allergique,Mon corps accepte ce qui lui arrive.,0.390
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Donne-moi de l'eau à boire.,0.804
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Je veux voir un médecin.,0.631
108,Wootel doctor,Appelez un médecin,Hôtel Docteur,0.417
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Je suis malade.,0.304
111,Fi moy meeti,J’ai mal ici,Il fait chaud ici.,0.633
112,Ana wanak wi ?,Où sont les toilettes ?,Où est l'enfant ?,0.654
113,Wollu !,A l’aide !,Bonjour !,0.100
114,Dema reer,Je suis perdu(e),Je suis triste.,0.620
115,sama Dom leuh,c'est mon fils,Mon amour perdu.,0.485
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,Mer,0.455
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Pensée,0.783
120,Mayma ndox,Donne moi de l'eau,Donne-moi de l'eau.,0.673
121,Dama feebar,Je suis malade,Je suis malade.,1.000
122,Maa ngi dem marse,Je pars au marché,Je vais à Marseille.,0.515
123,Loy def ?,Tu fais quoi ?,Comment ça va ?,0.380
124,Dama jaxasoo,Je suis confus,Je me prépare.,0.200
125,Maa ngi ci buro bi,Je suis au bureau,Je suis au bureau.,1.000
126,Dama sedd,J'ai froid,Je m'assieds.,0.335
127,Dama tàng,J'ai chaud,J'ai chaud.,1.000
128,Dafa tàng,Il fait chaud,Il fait chaud.,1.000
129,Dafa sedd,Il fait froid,Il fait froid.,1.000
130,Mu ngi taw,Il pleut,Il pleut.,1.000
131,Jamonoy taw la!,C'est la saison des pluies!,Il fait chaud en ce moment !,0.433
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"L'après-midi, la pluie, le climat est agréable.",0.585
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les quartiers Mbeddi de Dakar sont inondés à cause de la pluie.,0.801
134,Danu wara wut pexe,Nous devons trouver un plan,Nous devons chercher de l'argent.,0.623
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je suis allongé sur le côté du lit.,0.333
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Warone est allé à l'hôpital.,0.470
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,On a rencontré X aujourd'hui.,0.667
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Qu'as-tu fait de mon message ?,0.681
