No,Wolof,Français,Traduction,Score_Final
2,Na nga def ?,Comment vas tu ?,Comment vas-tu ?,0.812
3,Mangui gui fi,Je vais bien,il a mangé le fruit qu'il y avait.,0.387
4,iow nak no def ?,Et toi comment va tu ?,"Et alors quoi, quoi ?",0.442
5,Mangui ci diam,Ca va,L'argent dans les poches,0.365
6,Kay gnou lekk,Viens on mange,Kagnoo lekk,0.328
7,Gnata att nga am ?,Quelle age as-tu ?,"Gnata, àcc naa?",0.381
8,Tay dama woorr,J'ai jeûné aujourd'hui,Le temps a passé.,0.406
9,Fane nga deuk ?,Où est-ce que tu habites ?,Comment vas-tu?,0.311
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,Comment vas-tu?,0.416
11,Mangui toudou X,Je m'appelle X,Manguetou est mort.,0.257
12,Dama la sokhla,J'ai besoin de toi,Je te prie.,0.352
13,Dama khiff,J'ai faim,J'ai peur,0.750
14,Dama marr,J'ai soif,Dama marr,0.300
15,Mangui joko si leund mi,Je me connecte sur le web,L'humidité a fait que l'herbe de mangoussier ne poussa pas.,0.380
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,"Je suis triste, épuisé et déprimé.",0.299
17,Dama beug ndekki,Je veux prendre un petit déjeuner,J'ai le reveil à six heures.,0.489
18,Dama beug Agne,Je veux prendre un déjeuner,C'est Agnès qui m'a demandé.,0.349
19,Dama beug rére,Je veux prendre un dîner,Je suis triste,0.306
20,Damay takk jabar,Je vais me marier,Je suis fiancé.,0.297
21,Mayma khaliss,Donne moi de l'argent,Maam Khalis,0.242
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,C'est qui le grand méchant-loup?,0.394
23,Dama sonne,Je suis fatigué,J'ai sonné.,0.440
24,Bu la neexee,S’il vous plaît,Bu la neexee,0.200
25,Amul sólo,Je vous en prie,Aucune chance,0.240
26,Kay niou dem,Viens on y va,C'est à cause de la marée montante qu'il ne peut pas.,0.335
27,Jéggël ma,Excusez-moi,Pardon.,0.287
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Xam nga anglais?,0.607
29,Dégg nga ?,Comprenez-vous ?,As-tu déjà entendu parler ?,0.330
30,Dégg naa,Je comprends,J'ai entendu,0.362
31,Dégguma,Je ne comprends pas,Je déglutis.,0.164
